item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
6 Bags brick molding,1,1320.0,1320.0,2025-04-06,Construction,1st Floor,72.25
Cement,20,400.0,8000.0,2025-04-08,Construction,1st Floor,72.5
Cement  Transport,20,20.0,400.0,2025-04-08,Construction,1st Floor,72.5
4 Bags Brick Molding ,1,900.0,900.0,2025-04-08,Construction,1st Floor,72.5
2/3 Timber Rental(30 Days),275,4.0,33000.0,2025-04-10,Roof Concreting,1st Floor,72.5
Plywood(12mm) Rental(30 Days),46,19.0,26220.0,2025-04-10,Roof Concreting,1st Floor,72.5
AcroJack Tental(30 Days),450,2.5,33750.0,2025-04-10,Roof Concreting,1st Floor,72.5
Material Transport ,1,7000.0,7000.0,2025-04-10,Roof Concreting,1st Floor,72.5
1/2 Timber,60,100.0,6000.0,2025-04-09,Roof Concreting,1st Floor,72.5
Iron Rod(10mm),45,340.0,15300.0,2025-04-09,Construction,1st Floor,72.5
Concrete Nails(kg),15,30.0,450.0,2025-04-09,Roof Concreting,1st Floor,72.5
"Nail(kg) 6""",6,100.0,600.0,2025-04-09,Roof Concreting,1st Floor,72.5
"Nail(kg) 4""",8,100.0,800.0,2025-04-09,Roof Concreting,1st Floor,72.5
Sand (10 Wheel),1,8000.0,8000.0,2025-04-09,Construction,1st Floor,72.5
Concrete Nail(pack) ,10,30.0,300.0,2025-04-11,Roof Concreting,1st Floor,72.5
Pick Axe,1,400.0,400.0,2025-04-11,Construction,1st Floor,72.5
Putting Sand Soakaway side ,1,1500.0,1500.0,2025-04-11,Construction,1st Floor,72.5
Palm Tree Wood,20,225.0,4500.0,2025-04-11,Construction,1st Floor,72.5
palm Tree Wood Transport,1,900.0,900.0,2025-04-11,Construction,1st Floor,72.5
Cement,15,400.0,6000.0,2025-04-12,Construction,1st Floor,72.5
Cement  Transport,15,20.0,300.0,2025-04-12,Construction,1st Floor,72.5
1/2 Wood,15,100.0,1500.0,2025-04-12,Roof Concreting,1st Floor,72.5
Boy Helped with 1/2 Wood Trspt,1,100.0,100.0,2025-04-12,Roof Concreting,1st Floor,72.5
Soakaway Building finally Payment,1,20000.0,20000.0,2025-04-14,Construction,1st Floor,72.6
2/3 Timber Rental(25 Days),75,4.0,7500.0,2025-04-15,Roof Concreting,1st Floor,72.6
2/3 Timber Trasport,1,1000.0,1000.0,2025-04-15,Roof Concreting,1st Floor,72.6
12mm Plywood(Soft) ,20,1650.0,33000.0,2025-04-14,Roof Concreting,1st Floor,72.6
12mm Plywood Transport ,1,500.0,500.0,2025-04-14,Roof Concreting,1st Floor,72.6
Plywood(12mm) Rental(25 Days),9,19.0,4275.0,2025-04-15,Roof Concreting,1st Floor,72.6
1/2 wood,10,100.0,1000.0,2025-04-15,Roof Concreting,1st Floor,72.6
Material Transport ,1,1000.0,1000.0,2025-04-15,Roof Concreting,1st Floor,72.6
2nd Floor Architect Transport,1,600.0,600.0,2025-04-15,Construction,1st Floor,72.6
12mm Plywood(Soft) ,14,1650.0,23100.0,2025-04-16,Roof Concreting,1st Floor,72.6
AcroJack Tental(24 Days),75,2.5,4500.0,2025-04-16,Roof Concreting,1st Floor,72.6
Plywood(12mm) Rental(24 Days),7,19.0,3192.0,2025-04-16,Roof Concreting,1st Floor,72.6
Acrojack+Plywood Transport ,1,1800.0,1800.0,2025-04-16,Roof Concreting,1st Floor,72.6
"Nail 2""(pack) ",2,100.0,200.0,2025-04-16,Roof Concreting,1st Floor,72.6
2/3 Timber Rental(23 Days),30,4.0,2760.0,2025-04-17,Roof Concreting,1st Floor,72.6
2/3 Timber Trasport,1,1000.0,1000.0,2025-04-17,Roof Concreting,1st Floor,72.6
12mm Plywood(Soft) ,11,1650.0,18150.0,2025-04-17,Roof Concreting,1st Floor,72.6
12mm Plywood Transport ,1,350.0,350.0,2025-04-17,Roof Concreting,1st Floor,72.6
Sand (10 Wheel),1,8000.0,8000.0,2025-04-18,Roof Concreting,1st Floor,72.6
Pick Axe,1,500.0,500.0,2025-04-18,Roof Concreting,1st Floor,72.6
Asphalt Stones(Single),1,13000.0,13000.0,2025-04-19,Construction,1st Floor,72.85
Asphalt Stones(Single),1,13000.0,13000.0,2025-04-19,Construction,1st Floor,72.85
3 Pilars Payment ,1,6000.0,6000.0,2025-04-19,Construction,1st Floor,72.85
Sand (10 Wheel),1,8000.0,8000.0,2025-04-19,Roof Concreting,1st Floor,72.85
Sand (10 Wheel),1,80.0,80.0,2025-04-19,Roof Concreting,1st Floor,72.85
Gas for Generator,1,400.0,400.0,2025-04-21,Roof Concreting,1st Floor,72.85
